originState,inboundFromState,pctOfTotal
Washington,59,27.83
Florida,48,22.64
Illinois,27,12.74
Asia,19,8.96
California,18,8.49
Oklahoma,17,8.02
Pennsylvania,15,7.08
Alabama,5,2.36
Idaho,3,1.42
North Dakota,1,0.47
