originState,inboundFromState,pctOfTotal
Montana,193,51.33
Washington,83,22.07
North Dakota,21,5.59
Kentucky,16,4.26
Wyoming,15,3.99
Oklahoma,13,3.46
California,12,3.19
Indiana,9,2.39
Ohio,8,2.13
Iowa,5,1.33
Maine,1,0.27
