originState,inboundFromState,pctOfTotal
Montana,103,26.55
Wyoming,76,19.59
Hawaii,63,16.24
California,48,12.37
Oceania and At Sea,35,9.02
Wisconsin,16,4.12
Arkansas,15,3.87
North Dakota,11,2.84
Washington,9,2.32
North Carolina,4,1.03
South Dakota,4,1.03
Florida,2,0.52
Oregon,1,0.26
Texas,1,0.26
