originState,inboundFromState,pctOfTotal
Wisconsin,60,19.23
Oregon,44,14.1
Missouri,33,10.58
Washington,28,8.97
Oklahoma,24,7.69
Wyoming,23,7.37
South Dakota,20,6.41
Nevada,19,6.09
Louisiana,15,4.81
New York,12,3.85
Tennessee,7,2.24
Idaho,5,1.6
California,5,1.6
North Carolina,4,1.28
Europe,4,1.28
Florida,4,1.28
New Mexico,2,0.64
Utah,1,0.32
Minnesota,1,0.32
Arizona,1,0.32
