originState,inboundFromState,pctOfTotal
Montana,216,34.5
Arizona,88,14.06
North Dakota,87,13.9
Africa,80,12.78
Alabama,48,7.67
Wyoming,36,5.75
South Dakota,20,3.19
California,18,2.88
Maine,16,2.56
New Mexico,13,2.08
Minnesota,4,0.64
