originState,inboundFromState,pctOfTotal
Oregon,94,14.05
Ohio,90,13.45
Utah,78,11.66
Louisiana,69,10.31
Florida,57,8.52
New Mexico,52,7.77
Washington,50,7.47
Illinois,48,7.17
North Dakota,35,5.23
Nevada,32,4.78
California,23,3.44
Arkansas,21,3.14
Idaho,10,1.49
Wyoming,6,0.9
Texas,4,0.6
