originState,inboundFromState,pctOfTotal
Idaho,30,32.61
Oregon,21,22.83
North Dakota,12,13.04
North Carolina,11,11.96
Arizona,7,7.61
Asia,7,7.61
Colorado,3,3.26
Washington,1,1.09
