originState,inboundFromState,pctOfTotal
Oregon,68,27.87
Idaho,30,12.3
Wisconsin,29,11.89
Washington,28,11.48
Colorado,19,7.79
Pennsylvania,19,7.79
Missouri,11,4.51
New York,11,4.51
North Carolina,7,2.87
North Dakota,6,2.46
Asia,6,2.46
Texas,5,2.05
Central America,4,1.64
Wyoming,1,0.41
