originState,inboundFromState,pctOfTotal
Arizona,65,36.52
Oregon,33,18.54
Nebraska,19,10.67
Michigan,13,7.3
Idaho,12,6.74
California,8,4.49
Utah,7,3.93
Colorado,6,3.37
Wisconsin,6,3.37
Alaska,4,2.25
Nevada,2,1.12
Florida,1,0.56
New Mexico,1,0.56
Texas,1,0.56
