originState,inboundFromState,pctOfTotal
Montana,37,46.25
California,14,17.5
Mississippi,11,13.75
Washington,7,8.75
Alabama,4,5.0
Oregon,4,5.0
Virginia,1,1.25
Asia,1,1.25
Europe,1,1.25
