originState,inboundFromState,pctOfTotal
Oregon,35,26.52
Texas,24,18.18
Europe,13,9.85
California,10,7.58
Idaho,10,7.58
Pennsylvania,9,6.82
Illinois,7,5.3
Iowa,6,4.55
North Dakota,6,4.55
Caribbean,6,4.55
South Dakota,3,2.27
Nevada,2,1.52
Asia,1,0.76
