originState,inboundFromState,pctOfTotal
California,627,32.74
Colorado,224,11.7
South Carolina,164,8.56
Washington,120,6.27
New Mexico,92,4.8
Pennsylvania,87,4.54
Illinois,84,4.39
Oregon,77,4.02
Oklahoma,59,3.08
Utah,55,2.87
Alaska,51,2.66
Arizona,37,1.93
North Carolina,34,1.78
Asia,31,1.62
Idaho,25,1.31
Europe,24,1.25
Nevada,24,1.25
New York,23,1.2
Northern America,21,1.1
Indiana,17,0.89
Georgia,14,0.73
Texas,11,0.57
South Dakota,10,0.52
Arkansas,2,0.1
Wisconsin,1,0.05
Alabama,1,0.05
