originState,inboundFromState,pctOfTotal
Montana,431,54.01
California,174,21.8
Oregon,38,4.76
Washington,36,4.51
Wyoming,31,3.88
Florida,28,3.51
Wisconsin,21,2.63
Europe,15,1.88
Nevada,12,1.5
Texas,12,1.5
