originState,inboundFromState,pctOfTotal
Washington,83,45.36
North Dakota,21,11.48
Kentucky,16,8.74
Wyoming,15,8.2
Oklahoma,13,7.1
California,12,6.56
Indiana,9,4.92
Ohio,8,4.37
Iowa,5,2.73
Maine,1,0.55
