originState,inboundFromState,pctOfTotal
Montana,53,28.65
Oregon,35,18.92
Texas,24,12.97
Europe,13,7.03
California,10,5.41
Idaho,10,5.41
Pennsylvania,9,4.86
Illinois,7,3.78
Iowa,6,3.24
North Dakota,6,3.24
Caribbean,6,3.24
South Dakota,3,1.62
Nevada,2,1.08
Asia,1,0.54
