originState,inboundFromState,pctOfTotal
Illinois,61,29.05
North Carolina,55,26.19
Oregon,19,9.05
Colorado,13,6.19
Texas,13,6.19
Europe,10,4.76
Washington,9,4.29
Maine,6,2.86
Minnesota,6,2.86
Idaho,5,2.38
Oklahoma,5,2.38
Nevada,3,1.43
South Dakota,3,1.43
California,1,0.48
Wyoming,1,0.48
