originState,inboundFromState,pctOfTotal
Montana,133,52.16
Louisiana,30,11.76
Oklahoma,23,9.02
Alaska,21,8.24
Texas,13,5.1
Washington,12,4.71
Kansas,6,2.35
Missouri,5,1.96
Nevada,5,1.96
Michigan,4,1.57
Arizona,2,0.78
New Hampshire,1,0.39
