originState,inboundFromState,pctOfTotal
Montana,222,70.7
Idaho,30,9.55
Oregon,21,6.69
North Dakota,12,3.82
North Carolina,11,3.5
Arizona,7,2.23
Asia,7,2.23
Colorado,3,0.96
Washington,1,0.32
