originState,inboundFromState,pctOfTotal
Montana,264,55.46
Washington,59,12.39
Florida,48,10.08
Illinois,27,5.67
Asia,19,3.99
California,18,3.78
Oklahoma,17,3.57
Pennsylvania,15,3.15
Alabama,5,1.05
Idaho,3,0.63
North Dakota,1,0.21
