originState,inboundFromState,pctOfTotal
California,106,54.64
Florida,33,17.01
Missouri,22,11.34
Oregon,10,5.15
Colorado,9,4.64
Idaho,6,3.09
Vermont,5,2.58
Wisconsin,3,1.55
