originState,inboundFromState,pctOfTotal
California,186,32.63
Montana,174,30.53
Asia,56,9.82
Nebraska,52,9.12
Utah,33,5.79
Kansas,16,2.81
Washington,15,2.63
Colorado,10,1.75
South Dakota,8,1.4
Europe,6,1.05
Ohio,5,0.88
Pennsylvania,5,0.88
Nevada,4,0.7
