originState,inboundFromState,pctOfTotal
Kansas,121,38.54
Asia,32,10.19
Idaho,20,6.37
Ohio,19,6.05
Washington,16,5.1
Minnesota,14,4.46
Alaska,13,4.14
Nevada,13,4.14
Florida,12,3.82
Wyoming,12,3.82
California,11,3.5
Oregon,11,3.5
Europe,9,2.87
Massachusetts,8,2.55
Utah,3,0.96
