originState,inboundFromState,pctOfTotal
Washington,122,41.78
California,38,13.01
Nevada,32,10.96
Idaho,25,8.56
Texas,15,5.14
Tennessee,14,4.79
Minnesota,10,3.42
Missouri,9,3.08
Mississippi,8,2.74
Oregon,8,2.74
Asia,6,2.05
Arizona,5,1.71
