originState,inboundFromState,pctOfTotal
California,183,16.71
Idaho,151,13.79
Wyoming,84,7.67
Nebraska,83,7.58
Arizona,73,6.67
Iowa,62,5.66
Oregon,53,4.84
Maine,50,4.57
New Hampshire,48,4.38
Washington,34,3.11
Illinois,32,2.92
North Carolina,31,2.83
Europe,30,2.74
Georgia,23,2.1
Texas,23,2.1
Ohio,21,1.92
Utah,19,1.74
Oklahoma,17,1.55
Florida,17,1.55
Wisconsin,13,1.19
Northern America,13,1.19
Colorado,12,1.1
Minnesota,7,0.64
Missouri,7,0.64
New York,6,0.55
Kansas,3,0.27
