originState,inboundFromState,pctOfTotal
Montana,798,70.0
Washington,110,9.65
Colorado,55,4.82
Florida,30,2.63
South Carolina,21,1.84
Europe,15,1.32
Arizona,14,1.23
Iowa,13,1.14
New Mexico,13,1.14
Utah,10,0.88
New Jersey,10,0.88
California,10,0.88
Central America,9,0.79
Wisconsin,7,0.61
Wyoming,7,0.61
Indiana,6,0.53
Louisiana,5,0.44
Missouri,4,0.35
Alabama,2,0.18
New York,1,0.09
