originState,inboundFromState,pctOfTotal
Montana,715,55.73
Idaho,106,8.26
Washington,81,6.31
California,75,5.85
North Carolina,72,5.61
Wisconsin,65,5.07
Colorado,40,3.12
Oregon,38,2.96
Kansas,20,1.56
Alaska,18,1.4
Missouri,15,1.17
Minnesota,10,0.78
Florida,8,0.62
Oceania and At Sea,7,0.55
Europe,4,0.31
Ohio,3,0.23
Arizona,3,0.23
Texas,1,0.08
New York,1,0.08
New Mexico,1,0.08
