originState,inboundFromState,pctOfTotal
Montana,167,36.38
Washington,122,26.58
California,38,8.28
Nevada,32,6.97
Idaho,25,5.45
Texas,15,3.27
Tennessee,14,3.05
Minnesota,10,2.18
Missouri,9,1.96
Mississippi,8,1.74
Oregon,8,1.74
Asia,6,1.31
Arizona,5,1.09
