originState,inboundFromState,pctOfTotal
Nevada,116,16.38
Washington,74,10.45
Asia,58,8.19
Oregon,58,8.19
Arizona,55,7.77
Illinois,52,7.34
Idaho,45,6.36
Central America,44,6.21
Texas,41,5.79
Indiana,24,3.39
Wyoming,22,3.11
Alaska,17,2.4
Colorado,17,2.4
Pennsylvania,15,2.12
South Dakota,13,1.84
California,12,1.69
Missouri,11,1.55
Kentucky,9,1.27
Utah,7,0.99
North Dakota,6,0.85
Virginia,5,0.71
Hawaii,5,0.71
New York,2,0.28
