originState,inboundFromState,pctOfTotal
Wyoming,76,26.67
Hawaii,63,22.11
California,48,16.84
Oceania and At Sea,35,12.28
Wisconsin,16,5.61
Arkansas,15,5.26
North Dakota,11,3.86
Washington,9,3.16
North Carolina,4,1.4
South Dakota,4,1.4
Florida,2,0.7
Oregon,1,0.35
Texas,1,0.35
