originState,inboundFromState,pctOfTotal
Montana,1288,51.69
Washington,311,12.48
California,264,10.59
Arizona,115,4.61
Florida,74,2.97
Minnesota,66,2.65
Nevada,65,2.61
Utah,45,1.81
Oregon,28,1.12
Virginia,27,1.08
Idaho,26,1.04
Massachusetts,22,0.88
Wisconsin,22,0.88
Tennessee,21,0.84
North Dakota,19,0.76
Colorado,17,0.68
Wyoming,14,0.56
Texas,14,0.56
Nebraska,14,0.56
Central America,10,0.4
Alaska,10,0.4
Kansas,10,0.4
South America,4,0.16
Iowa,3,0.12
Indiana,2,0.08
Arkansas,1,0.04
