originState,inboundFromState,pctOfTotal
Utah,23,27.06
Washington,17,20.0
Alabama,8,9.41
North Dakota,8,9.41
Colorado,7,8.24
South Dakota,5,5.88
Alaska,4,4.71
Idaho,4,4.71
Arizona,2,2.35
Maine,2,2.35
Asia,2,2.35
California,1,1.18
Michigan,1,1.18
Texas,1,1.18
