originState,inboundFromState,pctOfTotal
Montana,759,70.87
Wisconsin,60,5.6
Oregon,44,4.11
Missouri,33,3.08
Washington,28,2.61
Oklahoma,24,2.24
Wyoming,23,2.15
South Dakota,20,1.87
Nevada,19,1.77
Louisiana,15,1.4
New York,12,1.12
Tennessee,7,0.65
Idaho,5,0.47
California,5,0.47
Europe,4,0.37
North Carolina,4,0.37
Florida,4,0.37
New Mexico,2,0.19
Utah,1,0.09
Minnesota,1,0.09
Arizona,1,0.09
